event_id,market,outcome_name,outcome_price,ts
1024110487,h2h,,,2025-08-29 23:19:35.300175+00
1024714782,h2h,,,2025-08-29 23:19:35.30308+00
1022635843,h2h,,,2025-08-29 23:19:35.305862+00
1024221322,h2h,,,2025-08-29 23:19:35.308477+00
1024657821,h2h,,,2025-08-29 23:19:35.312205+00
1024794512,h2h,,,2025-08-29 23:19:35.314707+00
1024794857,h2h,,,2025-08-29 23:19:35.317413+00
1024794008,h2h,,,2025-08-29 23:19:35.320593+00
1024796224,h2h,,,2025-08-29 23:19:35.322905+00
1024801876,h2h,,,2025-08-29 23:19:35.325319+00
1024802819,h2h,,,2025-08-29 23:19:35.327607+00
1024790512,h2h,,,2025-08-29 23:19:35.330213+00
1024790664,h2h,,,2025-08-29 23:19:35.332546+00
1024798255,h2h,,,2025-08-29 23:19:35.334779+00
1024387424,h2h,,,2025-08-29 23:19:35.337114+00
1024387439,h2h,,,2025-08-29 23:19:35.33997+00
1023364183,h2h,,,2025-08-29 23:19:35.342701+00
1023418354,h2h,,,2025-08-29 23:19:35.345011+00
1024762750,h2h,,,2025-08-29 23:19:35.349233+00
1024803223,h2h,,,2025-08-29 23:19:35.35473+00
1024794798,h2h,,,2025-08-29 23:19:35.357207+00
1024803221,h2h,,,2025-08-29 23:19:35.360815+00
1024806304,h2h,,,2025-08-29 23:19:35.363481+00
1024807560,h2h,,,2025-08-29 23:19:35.366408+00
1024803205,h2h,,,2025-08-29 23:19:35.368767+00
1024387796,h2h,,,2025-08-29 23:19:35.371024+00
1022037257,h2h,,,2025-08-29 23:19:35.373474+00
1022037245,h2h,,,2025-08-29 23:19:35.375854+00
1022037256,h2h,,,2025-08-29 23:19:35.378215+00
1022037241,h2h,,,2025-08-29 23:19:35.380676+00
1022037244,h2h,,,2025-08-29 23:19:35.382997+00
1022037238,h2h,,,2025-08-29 23:19:35.386+00
1022037234,h2h,,,2025-08-29 23:19:35.388749+00
1022949412,h2h,,,2025-08-29 23:19:42.100102+00
1024777705,h2h,,,2025-08-29 23:19:42.106052+00
1024110478,h2h,,,2025-08-29 23:19:42.110559+00
1024110487,h2h,,,2025-08-29 23:19:42.114407+00
1024714782,h2h,,,2025-08-29 23:19:42.118755+00
1022635843,h2h,,,2025-08-29 23:19:42.122308+00
1024221322,h2h,,,2025-08-29 23:19:42.12575+00
1024657821,h2h,,,2025-08-29 23:19:42.129041+00
1024794512,h2h,,,2025-08-29 23:19:42.132231+00
1024794857,h2h,,,2025-08-29 23:19:42.135638+00
1024794008,h2h,,,2025-08-29 23:19:42.139075+00
1024796224,h2h,,,2025-08-29 23:19:42.14204+00
1024801876,h2h,,,2025-08-29 23:19:42.144966+00
