event_id,book,market,outcome_name,outcome_price,ts
1022635843,betrivers,h2h,,,2025-08-29 23:55:21.385914+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:21.392382+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:21.396464+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:21.400639+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:21.40913+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:21.414414+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:21.418541+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:21.42292+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:21.426508+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:21.431542+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:21.438365+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:21.449577+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:21.457726+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:21.466783+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:21.479116+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:21.485537+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:21.493917+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:21.499612+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:21.5043+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:21.509063+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:21.512971+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:21.517209+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:21.521138+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:21.527469+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:21.531358+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:21.537021+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:21.546759+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:28.701288+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:28.707653+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:28.711306+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:28.714924+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:28.721111+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:28.724629+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:28.727741+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:28.730984+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:28.7342+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:28.736692+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:28.739227+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:28.748359+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:28.757571+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:28.76154+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:28.770219+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:28.775545+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:28.778383+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:28.781019+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:28.783806+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:28.786315+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:28.789261+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:28.792273+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:28.794952+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:28.797896+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:28.800673+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:28.803238+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:28.805927+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:28.80898+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:28.813547+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:28.816112+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:33.152069+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:33.158328+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:33.162203+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:33.165281+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:33.170874+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:33.174421+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:33.177974+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:33.181557+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:33.187483+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:33.20334+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:33.207525+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:33.211902+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:33.216533+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:33.220272+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:33.23356+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:33.239505+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:33.242871+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:33.245833+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:33.248923+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:33.251746+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:33.25465+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:33.257515+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:33.261061+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:33.264006+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:33.266886+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:33.2698+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:33.27283+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:33.276137+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:33.281109+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:33.283834+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:36.96671+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:36.97004+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:36.973606+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:36.976248+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:36.980912+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:36.983705+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:36.98672+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:36.989861+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:36.993508+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:36.996817+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:37.000191+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:37.002973+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:37.019652+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:37.042374+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:37.077774+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:37.089861+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:37.100145+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:37.108382+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:37.113103+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:37.116458+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:37.11987+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:37.123149+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:37.128314+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:37.136025+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:37.13902+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:37.141524+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:37.144452+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:37.147244+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:37.151226+00
1024106982,betrivers,h2h,,,2025-08-29 23:55:37.155924+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:37.159063+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:44.982162+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:44.989064+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:44.992268+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:44.996857+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:45.003364+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:45.019221+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:45.022656+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:45.026275+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:45.029844+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:45.033691+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:45.036955+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:45.043366+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:45.063204+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:45.072265+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:45.085883+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:45.091012+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:45.095622+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:45.099631+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:45.104288+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:45.110567+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:45.120673+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:45.124447+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:45.128465+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:45.132117+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:45.135445+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:45.137952+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:45.14157+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:45.144575+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:45.149339+00
1024106982,betrivers,h2h,,,2025-08-29 23:55:45.153663+00
1022706904,betrivers,h2h,,,2025-08-29 23:55:45.156719+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:45.159321+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:45.164331+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:45.168519+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:45.171852+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:45.174963+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:45.179897+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:45.182753+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:45.185397+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:45.188115+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:45.191039+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:45.194098+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:45.197728+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:45.200919+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:45.203952+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:45.207011+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:45.215527+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:45.220082+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:45.222956+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:45.22645+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:45.229399+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:45.232083+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:45.234616+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:45.237246+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:45.240047+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:45.242451+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:45.244879+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:45.248402+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:45.25153+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:45.254611+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:45.26006+00
1024106982,betrivers,h2h,,,2025-08-29 23:55:45.263457+00
1022706904,betrivers,h2h,,,2025-08-29 23:55:45.266437+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:45.269534+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:53.386026+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:53.389848+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:53.393041+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:53.396087+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:53.401838+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:53.406027+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:53.40938+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:53.413415+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:53.416795+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:53.421519+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:53.424281+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:53.426771+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:53.429659+00
