event_id,market,selection,price,line,ts
1024796224,h2h,home,1.04,,2025-08-29 23:56:51+00
1024777705,h2h,home,4.25,,2025-08-29 23:56:43+00
1022706904,h2h,home,2.06,,2025-08-29 23:56:43+00
1024036675,h2h,home,2.35,,2025-08-29 23:56:43+00
1024796224,h2h,home,1.03,,2025-08-29 23:56:43+00
1024803221,h2h,home,1.13,,2025-08-29 23:56:43+00
1023418354,h2h,home,1.24,,2025-08-29 23:56:43+00
1022037241,h2h,home,1.55,,2025-08-29 23:56:43+00
1024387796,h2h,home,1.62,,2025-08-29 23:56:43+00
1022307564,h2h,home,1.08,,2025-08-29 23:56:43+00
1024796224,h2h,home,1.03,,2025-08-29 23:56:43+00
1024387439,h2h,home,1.01,,2025-08-29 23:56:43+00
1024110487,h2h,home,121,,2025-08-29 23:56:43+00
1024036675,h2h,home,2.35,,2025-08-29 23:56:43+00
1022037238,h2h,home,8.5,,2025-08-29 23:56:43+00
1024714782,h2h,home,1.18,,2025-08-29 23:56:42+00
1023418354,h2h,home,1.24,,2025-08-29 23:56:42+00
1024803188,h2h,home,1.45,,2025-08-29 23:56:42+00
1024806304,h2h,home,1.32,,2025-08-29 23:56:42+00
1024802819,h2h,home,2.48,,2025-08-29 23:56:42+00
1022037245,h2h,home,2.5,,2025-08-29 23:56:42+00
1024805317,h2h,home,1.86,,2025-08-29 23:56:42+00
1024803221,h2h,home,1.13,,2025-08-29 23:56:42+00
1024106982,h2h,home,1.72,,2025-08-29 23:56:42+00
1024805317,h2h,home,1.86,,2025-08-29 23:56:35+00
1024790664,h2h,home,3.65,,2025-08-29 23:56:35+00
1022635843,h2h,home,8,,2025-08-29 23:56:35+00
1022037257,h2h,home,2.85,,2025-08-29 23:56:35+00
1022037250,h2h,home,3.1,,2025-08-29 23:56:35+00
1024803188,h2h,home,1.45,,2025-08-29 23:56:31+00
1023364183,h2h,home,2.04,,2025-08-29 23:56:31+00
1022037244,h2h,home,1.62,,2025-08-29 23:56:31+00
1024110487,h2h,home,101,,2025-08-29 23:56:31+00
1022037241,h2h,home,1.61,,2025-08-29 23:56:31+00
1024714782,h2h,home,1.18,,2025-08-29 23:56:31+00
1022636365,h2h,home,2.65,,2025-08-29 23:56:31+00
1024805317,h2h,home,1.78,,2025-08-29 23:56:31+00
1024803221,h2h,home,1.1,,2025-08-29 23:56:31+00
1024387796,h2h,home,1.56,,2025-08-29 23:56:31+00
1022037241,h2h,home,1.61,,2025-08-29 23:56:26+00
1024794512,h2h,home,1.15,,2025-08-29 23:56:26+00
1024387439,h2h,home,1.01,,2025-08-29 23:56:26+00
1023523372,h2h,home,1.42,,2025-08-29 23:56:26+00
1023523372,h2h,home,1.42,,2025-08-29 23:56:26+00
1023523372,h2h,home,1.42,,2025-08-29 23:56:26+00
1024814618,h2h,home,2.14,,2025-08-29 23:56:19+00
1024807560,h2h,home,9.5,,2025-08-29 23:56:19+00
1024803221,h2h,home,1.1,,2025-08-29 23:56:19+00
1022037257,h2h,home,2.85,,2025-08-29 23:56:19+00
1022037256,h2h,home,1.68,,2025-08-29 23:56:19+00
1022706904,h2h,home,2.06,,2025-08-29 23:56:19+00
1022636365,h2h,home,2.65,,2025-08-29 23:56:19+00
1024814618,h2h,home,2.14,,2025-08-29 23:56:19+00
1024807560,h2h,home,9.5,,2025-08-29 23:56:19+00
1022037256,h2h,home,1.68,,2025-08-29 23:56:19+00
1024814618,h2h,home,2.14,,2025-08-29 23:56:19+00
1023364183,h2h,home,2.04,,2025-08-29 23:56:19+00
1022706904,h2h,home,2.06,,2025-08-29 23:56:19+00
1024814618,h2h,home,2.14,,2025-08-29 23:56:19+00
1024806304,h2h,home,1.45,,2025-08-29 23:56:19+00
1024387439,h2h,home,1.01,,2025-08-29 23:56:19+00
1024036675,h2h,home,2.35,,2025-08-29 23:56:19+00
